measurement_id,component_id,lot_id_cmm,feature_name,nominal_value,upper_tolerance,lower_tolerance,measured_value,measurement_timestamp,cmm_machine_id,inspector_id,result,production_order_id,part_id,lot_id_erp,production_timestamp,quantity,machine_id,operator_id,shift,plant_code,status,pass_flag,z_score,anomaly_z,anomaly_iforest
M0000001,PART-041,LOT-00001,outer_diameter,100,100.5,99.5,100.083,1/7/2024 9:36,CMM2,QC005,pass,PO000001,PART-041,LOT-00001,2024-01-06 01:36:00,32,M009,OP032,3,PLANT1,completed,True,2.2039509811813547,False,False
M0000002,PART-007,LOT-00002,parallelism,0,0.1,0.0,-0.005,1/26/2024 13:41,CMM1,QC003,fail,PO000002,PART-007,LOT-00002,2024-01-25 19:41:00,64,M019,OP055,2,PLANT1,completed,False,-0.8798004521804349,False,False
M0000003,PART-014,LOT-00003,thickness,5,5.05,4.95,5.011,1/11/2024 19:07,CMM1,QC008,pass,PO000003,PART-014,LOT-00003,2024-01-11 14:07:00,278,M020,OP004,2,PLANT3,completed,True,-0.7252554798586507,False,False
M0000004,PART-042,LOT-00004,outer_diameter,100,100.5,99.5,100.254,1/27/2024 12:13,CMM2,QC012,pass,PO000004,PART-042,LOT-00004,2024-01-25 19:13:00,234,M008,OP058,2,PLANT3,completed,True,2.209219559783234,False,False
M0000005,PART-001,LOT-00005,width,10,10.1,9.9,9.992,1/8/2024 10:23,CMM2,QC008,pass,PO000005,PART-001,LOT-00005,2024-01-08 06:23:00,377,M014,OP044,1,PLANT2,completed,True,-0.5717888715781867,False,False
M0000006,PART-049,LOT-00006,bore_diameter,50,50.4,49.6,49.969,1/17/2024 2:39,CMM2,QC001,pass,PO000006,PART-049,LOT-00006,2024-01-16 07:39:00,72,M003,OP049,1,PLANT1,completed,True,0.6599185364178194,False,False
M0000007,PART-023,LOT-00007,parallelism,0,0.1,0.0,0.053,1/28/2024 16:25,CMM3,QC004,pass,PO000007,PART-023,LOT-00007,2024-01-28 11:25:00,155,M002,OP094,1,PLANT2,completed,True,-0.8780134489119613,False,False
M0000008,PART-025,LOT-00008,bore_diameter,50,50.4,49.6,50.102,1/6/2024 13:04,CMM2,QC012,pass,PO000008,PART-025,LOT-00008,2024-01-04 14:04:00,302,M010,OP081,2,PLANT3,in_progress,True,0.6640163197748362,False,False
M0000009,PART-024,LOT-00009,thickness,5,5.05,4.95,4.992,1/28/2024 2:37,CMM2,QC015,pass,PO000009,PART-024,LOT-00009,2024-01-27 06:37:00,118,M003,OP006,1,PLANT3,completed,True,-0.7258408774810816,False,False
M0000010,PART-019,LOT-00010,flatness,0,0.1,0.0,0.018,1/6/2024 12:09,CMM2,QC008,pass,PO000010,PART-019,LOT-00010,2024-01-04 15:09:00,457,M008,OP013,2,PLANT2,completed,True,-0.8790918129532815,False,False
M0000011,PART-041,LOT-00011,thickness,5,5.05,4.95,4.992,1/18/2024 9:29,CMM1,QC018,pass,PO000011,PART-041,LOT-00011,2024-01-17 14:29:00,103,M012,OP046,2,PLANT1,completed,True,-0.7258408774810816,False,False
M0000012,PART-045,LOT-00012,length,20,20.2,19.8,19.969,1/30/2024 17:49,CMM1,QC014,pass,PO000012,PART-045,LOT-00012,2024-01-30 11:49:00,56,M020,OP082,1,PLANT1,completed,True,-0.26439349899955017,False,False
M0000013,PART-016,LOT-00013,thickness,5,5.05,4.95,5.004,1/8/2024 13:28,CMM2,QC010,pass,PO000013,PART-016,LOT-00013,2024-01-08 10:28:00,256,M013,OP035,1,PLANT3,completed,True,-0.7254711526669148,False,False
M0000014,PART-015,LOT-00014,outer_diameter,100,100.5,99.5,99.681,1/17/2024 16:12,CMM1,QC001,pass,PO000014,PART-015,LOT-00014,2024-01-15 18:12:00,451,M002,OP030,2,PLANT1,in_progress,True,2.191565199906762,False,True
M0000015,PART-026,LOT-00015,flatness,0,0.1,0.0,-0.057,1/15/2024 0:26,CMM3,QC013,fail,PO000015,PART-026,LOT-00015,2024-01-13 04:26:00,53,M007,OP073,3,PLANT3,completed,False,-0.8814025930418249,False,False
M0000016,PART-042,LOT-00016,flatness,0,0.1,0.0,-0.019,1/23/2024 22:17,CMM1,QC002,fail,PO000016,PART-042,LOT-00016,2024-01-23 17:17:00,222,M015,OP019,2,PLANT2,completed,False,-0.8802317977969629,False,False
M0000017,PART-048,LOT-00017,length,20,20.2,19.8,19.932,1/27/2024 5:09,CMM1,QC004,pass,PO000017,PART-048,LOT-00017,2024-01-26 13:09:00,295,M009,OP096,1,PLANT3,completed,True,-0.26553348384323167,False,False
M0000018,PART-038,LOT-00018,flatness,0,0.1,0.0,0.01,1/20/2024 6:15,CMM3,QC005,pass,PO000018,PART-038,LOT-00018,2024-01-19 04:15:00,205,M008,OP018,3,PLANT3,completed,True,-0.8793382961627262,False,False
M0000019,PART-049,LOT-00019,length,20,20.2,19.8,19.939,1/4/2024 19:27,CMM2,QC012,pass,PO000019,PART-049,LOT-00019,2024-01-03 03:27:00,460,M004,OP020,3,PLANT3,completed,True,-0.2653178110349676,False,False
M0000020,PART-044,LOT-00020,flatness,0,0.1,0.0,-0.047,1/21/2024 5:06,CMM3,QC019,fail,PO000020,PART-044,LOT-00020,2024-01-20 05:06:00,325,M003,OP050,3,PLANT2,completed,False,-0.8810944890300192,False,False
M0000021,PART-030,LOT-00021,flatness,0,0.1,0.0,0.049,1/25/2024 2:56,CMM3,QC007,pass,PO000021,PART-030,LOT-00021,2024-01-25 01:56:00,148,M018,OP002,3,PLANT3,completed,True,-0.8781366905166836,False,False
M0000022,PART-044,LOT-00022,thickness,5,5.05,4.95,4.996,1/27/2024 7:30,CMM1,QC001,pass,PO000022,PART-044,LOT-00022,2024-01-25 10:30:00,404,M009,OP099,1,PLANT3,completed,True,-0.7257176358763593,False,False
M0000023,PART-019,LOT-00023,bore_diameter,50,50.4,49.6,50.009,1/21/2024 8:52,CMM1,QC012,pass,PO000023,PART-019,LOT-00023,2024-01-20 18:52:00,100,M015,OP001,2,PLANT3,in_progress,True,0.6611509524650425,False,False
M0000024,PART-017,LOT-00024,parallelism,0,0.1,0.0,-0.047,1/24/2024 2:46,CMM3,QC015,fail,PO000024,PART-017,LOT-00024,2024-01-23 18:46:00,410,M006,OP065,2,PLANT1,in_progress,False,-0.8810944890300192,False,False
M0000025,PART-020,LOT-00025,bore_diameter,50,50.4,49.6,49.927,1/30/2024 11:54,CMM1,QC001,pass,PO000025,PART-020,LOT-00025,2024-01-30 01:54:00,279,M020,OP026,3,PLANT1,completed,True,0.658624499568235,False,False
M0000026,PART-011,LOT-00026,bore_diameter,50,50.4,49.6,50.015,1/27/2024 7:08,CMM2,QC009,pass,PO000026,PART-011,LOT-00026,2024-01-25 13:08:00,418,M017,OP001,1,PLANT3,completed,True,0.661335814872126,False,False
